"","ACCESS_ID","HAULJOIN","CRUISE","VESSEL","HAUL","GIS_STATION","SPECIES_CODE","SEX","LENGTH","WIDTH","SHELL_CONDITION","EGG_COLOR","EGG_CONDITION","CLUTCH_SIZE","WEIGHT","CHELA_HEIGHT","COMMENTS","YEAR","log10.width","log10.weight","log.width","log.weight","Cooks_D","SC"
"459",NA,-10228,201301,162,169,"U-27",68580,1,NA,35.1,2,NA,NA,NA,17,5.6,"","2013",1.54530711646582,1.23044892137827,3.55820113047182,2.83321334405622,9.36686322179701e-05,"NS"
"462",NA,-9610,201202,162,23,"CH30-D01",68580,1,NA,35.1,2,NA,NA,NA,18,5.3,"","2012",1.54530711646582,1.25527250510331,3.55820113047182,2.89037175789616,0.000442027519002137,"NS"
"464",NA,-10253,201301,89,170,"V-25",68580,1,NA,35.2,2,NA,NA,NA,18,5.2,"","2013",1.54654266347813,1.25527250510331,3.56104608260405,2.89037175789616,0.00036959420901047,"NS"
"466",NA,-10204,201301,89,160,"P-24",68580,1,NA,35.3,2,NA,NA,NA,18,5.7,"","2013",1.54777470538782,1.25527250510331,3.56388296393925,2.89037175789616,0.00030422965630309,"NS"
"472",NA,-9223,201201,162,207,"U-25",68580,1,NA,35.4,2,NA,NA,NA,18,NA,"","2012",1.54900326202579,1.25527250510331,3.56671182013973,2.89037175789616,0.000245747801622934,"NS"
"482",NA,-9588,201202,162,1,"CH30-B01",68580,1,NA,35.5,2,NA,NA,NA,16,5,"","2012",1.55022835305509,1.20411998265592,3.56953269648137,2.77258872223978,8.34580876834332e-05,"NS"
"483",3232,-3776,200701,89,174,"T-25",68580,1,NA,35.6,2,NA,NA,NA,16,5.2,"","2007",1.55144999797288,1.20411998265592,3.57234563785798,2.77258872223978,0.000116413499545279,"NS"
"484",3245,-3777,200701,89,175,"U-25",68580,1,NA,35.6,2,NA,NA,NA,16,5.4,"","2007",1.55144999797288,1.20411998265592,3.57234563785798,2.77258872223978,0.000116413499545279,"NS"
"487",NA,-10253,201301,89,170,"V-25",68580,1,NA,35.6,2,NA,NA,NA,18,5.1,"","2013",1.55144999797288,1.25527250510331,3.57234563785798,2.89037175789616,0.000148706978031165,"NS"
"489",481,-11658,200601,88,170,"V-23",68580,1,NA,35.7,2,NA,NA,NA,16,4.8,"","2006",1.55266821611219,1.20411998265592,3.57515068878559,2.77258872223978,0.000154440186842204,"NS"
